OBJECTID,PANEL_NO,WEBLINK,PANEL_ID,COM_ID,SE_ANNO_CAD_DATA,SHAPEarea,SHAPElen
1,78,http://gis-server/firmmaps/2009/0078.tif,0078,515531,,15115568.0673024,15648.0996317744
2,86,http://gis-server/firmmaps/2009/0086.tif,0086,515531,,15103178.9155994,15641.6894326536
3,14,http://gis-server/firmmaps/2009/0014.tif,0014,515531,,15131068.2648832,15656.6517000511
4,12,http://gis-server/firmmaps/2009/0012.tif,0012,515531,,15137289.6778496,15660.2266000561
5,77,http://gis-server/firmmaps/2009/0077.tif,0077,515531,,15124873.0853734,15653.0909000545
6,79,http://gis-server/firmmaps/2009/0079.tif,0079,515531,,15118697.215273,15649.5403000904
7,87,http://gis-server/firmmaps/2009/0087.tif,0087,515531,,15112511.1423693,15645.9857000508
8,89,http://gis-server/firmmaps/2009/0089.tif,0089,515531,,15106335.6500019,15642.4372000535
9,16,http://gis-server/firmmaps/2009/0016.tif,0016,515531,,15137282.0127078,15660.2242000808
10,18,http://gis-server/firmmaps/2009/0018.tif,0018,515531,,15131062.9594368,15656.6488000745
11,81,http://gis-server/firmmaps/2009/0081.tif,0081,515531,,15124874.303191,15653.0918000465
12,83,http://gis-server/firmmaps/2009/0083.tif,0083,515531,,15118690.002391,15649.5373000984
13,91,http://gis-server/firmmaps/2009/0091.tif,0091,515531,,15112511.9704525,15645.9864000643
14,93,http://gis-server/firmmaps/2009/0093.tif,0093,515531,,15106359.7638758,15642.4494000495
15,17,http://gis-server/firmmaps/2009/0017.tif,0017,515531,,15137305.119831,15660.2346001005
16,19,http://gis-server/firmmaps/2009/0019.tif,0019,515531,,15131074.3958221,15656.6553001328
17,82,http://gis-server/firmmaps/2009/0082.tif,0082,515531,,15124877.6090214,15653.0946000601
18,84,http://gis-server/firmmaps/2009/0084.tif,0084,515531,,15118688.7410074,15649.536500097
19,92,http://gis-server/firmmaps/2009/0092.tif,0092,515531,,15112525.4418022,15645.9931000817
20,94,http://gis-server/firmmaps/2009/0094.tif,0094,515531,,15106350.5114778,15642.4449000704
21,36,http://gis-server/firmmaps/2009/0036.tif,0036,515531,,15137289.1942605,15660.2272001148
22,38,http://gis-server/firmmaps/2009/0038.tif,0038,515531,,15131090.0528128,15656.6632001214
23,101,http://gis-server/firmmaps/2009/0101.tif,0101,515531,,15124901.9576013,15653.1065000956
24,103,http://gis-server/firmmaps/2009/0103.tif,0103,515531,,15118696.5238067,15649.5408001034
25,111,http://gis-server/firmmaps/2009/0111.tif,0111,515531,,15112518.1863885,15645.9897000962
26,113,http://gis-server/firmmaps/2009/0113.tif,0113,515531,,15106359.7603226,15642.4491000798
27,37,http://gis-server/firmmaps/2009/0037.tif,0037,515531,,15137300.284969,15660.2332001077
28,39,http://gis-server/firmmaps/2009/0039.tif,0039,515531,,15131094.7065088,15656.6655001228
29,102,http://gis-server/firmmaps/2009/0102.tif,0102,515531,,15124899.6959744,15653.1048001207
30,104,http://gis-server/firmmaps/2009/0104.tif,0104,515531,,15118716.3458867,15649.5508001248
31,112,http://gis-server/firmmaps/2009/0112.tif,0112,515531,,15112525.1754342,15645.9923001297
32,114,http://gis-server/firmmaps/2009/0114.tif,0114,515531,,15106370.0715827,15642.4555001083
33,41,http://gis-server/firmmaps/2009/0041.tif,0041,515531,,15137300.6745702,15660.2337001535
34,43,http://gis-server/firmmaps/2009/0043.tif,0043,515531,,15131078.5686067,15656.6584001635
35,106,http://gis-server/firmmaps/2009/0106.tif,0106,515531,,15124883.3484339,15653.0976001577
36,108,http://gis-server/firmmaps/2009/0108.tif,0108,515531,,15118699.5716557,15649.5434001441
37,116,http://gis-server/firmmaps/2009/0116.tif,0116,515531,,15112507.800919,15645.9846001336
38,118,http://gis-server/firmmaps/2009/0118.tif,0118,515531,,15106361.390121,15642.4518001395
39,42,http://gis-server/firmmaps/2009/0042.tif,0042,515531,,15137311.3325312,15660.2391001765
40,44,http://gis-server/firmmaps/2009/0044.tif,0044,515531,,15131097.4882611,15656.667600169
41,107,http://gis-server/firmmaps/2009/0107.tif,0107,515531,,15124902.4360704,15653.1069001623
42,109,http://gis-server/firmmaps/2009/0109.tif,0109,515531,,15118712.6955418,15649.5492001717
43,117,http://gis-server/firmmaps/2009/0117.tif,0117,515531,,15112540.7905741,15646.0018001676
44,119,http://gis-server/firmmaps/2009/0119.tif,0119,515531,,15106367.2839424,15642.453500155
45,61,http://gis-server/firmmaps/2009/0061.tif,0061,515531,,15137341.5707034,15660.2537001584
46,63,http://gis-server/firmmaps/2009/0063.tif,0063,515531,,15131142.546903,15656.6898001823
47,126,http://gis-server/firmmaps/2009/0126.tif,0126,515531,,15116823.3938995,15648.4608238962
48,128,http://gis-server/firmmaps/2009/0128.tif,0128,515531,,15115647.5748659,15648.1469864994
49,136,http://gis-server/firmmaps/2009/0136.tif,0136,515531,,15112578.7659571,15646.0200002098
50,138,http://gis-server/firmmaps/2009/0138.tif,0138,515531,,15106420.1066752,15642.4793002033
51,137,http://gis-server/firmmaps/2009/0137.tif,0137,515531,,15112606.7008051,15646.0330002071
52,139,http://gis-server/firmmaps/2009/0139.tif,0139,515531,,15106455.0744576,15642.4963001862
53,180,http://gis-server/firmmaps/2009/0180.tif,0180,515531,,60388619.7872179,31274.3202003687
54,185,http://gis-server/firmmaps/2009/0185.tif,0185,515531,,60388767.8490061,31274.3528002908
55,205,http://gis-server/firmmaps/2009/0205.tif,0205,515531,,60389007.9038976,31274.4198003899
56,190,http://gis-server/firmmaps/2009/0190.tif,0190,515531,,60339640.9918566,31260.237900347
57,195,http://gis-server/firmmaps/2009/0195.tif,0195,515531,,60339782.7583846,31260.2665002831
58,215,http://gis-server/firmmaps/2009/0215.tif,0215,515531,,60339888.8794522,31260.2995004747
59,220,http://gis-server/firmmaps/2009/0220.tif,0220,515531,,60339919.5685171,31260.305200541
60,230,http://gis-server/firmmaps/2009/0230.tif,0230,515531,,60290805.9096371,31246.1894004981
61,235,http://gis-server/firmmaps/2009/0235.tif,0235,515531,,60290899.1122432,31246.2185003896
62,255,http://gis-server/firmmaps/2009/0255.tif,0255,515531,,60290929.5261389,31246.2332005008
63,260,http://gis-server/firmmaps/2009/0260.tif,0260,515531,,60290929.9197133,31246.2350006309
64,280,http://gis-server/firmmaps/2009/0280.tif,0280,515531,,60290903.1948186,31246.2281784058
65,290,http://gis-server/firmmaps/2009/0290.tif,0290,515531,,60192445.4449766,31220.7163556422
66,270,http://gis-server/firmmaps/2009/0270.tif,0270,515531,,60192471.845632,31220.7234005763
67,265,http://gis-server/firmmaps/2009/0265.tif,0265,515531,,60192498.8387942,31220.7301062006
68,245,http://gis-server/firmmaps/2009/0245.tif,0245,515531,,60192525.4666752,31220.7370725152
69,240,http://gis-server/firmmaps/2009/0240.tif,0240,515531,,60192552.3824026,31220.7440995357
70,210,http://gis-server/firmmaps/2009/0210.tif,0210,515531,,60488573.7682637,31297.3844007538
71,160,http://gis-server/firmmaps/2009/0160.tif,0160,515531,,60488468.2000486,31297.3568757925
72,129,http://gis-server/firmmaps/2009/0129.tif,0129,515531,,15104692.0566682,15642.0535607567
